Semana,Día,Canal,Tipo,Tema,Copy ES,Copy EN,Estado,Notas
1,Lunes,Instagram,Foto,Producto destacado,"Lunes claros para empezar bien.","Bright Mondays to start well.",Pendiente,
1,Miércoles,Instagram,Reel,Detrás de cámaras,"Así se prepara la semana.","This is how the week is prepped.",Pendiente,
1,Viernes,Google Business,Post,Oferta o evento,"Fin de semana — reserva por WhatsApp.","Weekend — book on WhatsApp.",Pendiente,
2,Lunes,Instagram,Foto,Equipo / cara humana,"Te presentamos a {nombre}.","Meet {name}.",Pendiente,
2,Miércoles,Instagram,Carrusel,Cómo / educativo,"Tres formas de pedir tu favorito.","Three ways to order your favourite.",Pendiente,
2,Viernes,Google Business,Pregunta,Engagement,"¿Qué prefieres este viernes?","What do you fancy this Friday?",Pendiente,
3,Lunes,Instagram,Reel,Proceso,"60 segundos de cómo lo hacemos.","60 seconds of how we do it.",Pendiente,
3,Miércoles,Instagram,Foto,Cliente / testimonio,"Gracias por venir, {nombre}.","Thanks for coming, {name}.",Pendiente,
3,Viernes,Google Business,Post,Evento de fin de semana,"Sábado: {evento}.","Saturday: {event}.",Pendiente,
4,Lunes,Instagram,Foto,Estacional,"Para esta semana de {clima}.","For this week's {weather}.",Pendiente,
4,Miércoles,Instagram,Carrusel,Pregunta abierta,"¿Qué te gustaría que volviera al menú?","What would you like to see back on the menu?",Pendiente,
4,Viernes,Google Business,Post,Cierre de mes,"Cerramos {mes} agradecidos.","We close {month} grateful.",Pendiente,
